Detected_Date,Municipality,Title,Page_URL,Has_Tourism_Keyword,Has_Inflation_Keyword,Excerpt_Summary
2026/09/02,滋賀県,令和9年度予算編成方針,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/352191.html,TRUE,TRUE,【物価高騰】...す る。 2 ２ 財政健全化の推進 これまでの取組 • 国スポ・障スポ大会の開催や将来に向けた投資、物価高騰への対応などを着実に進めながら、行政経営方針に基 づき歳入歳出両面から収支改善に取り組むとともに、令... | 【地域活性化】...大限活用することができるように取り組むこととする。 ○市町との連携強化 急速に進む人口減少への対応や地域活性化策など、県政を取り巻く様々な課題の解決を 図るためには、住民に最も身近な基礎自治体である市町と適切な... | 【物価高騰】...す る。 2 ２ 財政健全化の推進 これまでの取組 • 国スポ・障スポ大会の開催や将来に向けた投資、物価高騰への対応などを着実に進めながら、行政経営方針に基 づき歳入歳出両面から収支改善に取り組むとともに、令...
2026/08/05,滋賀県,令和8年度7月補正予算案の概要（その4）,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/351969.html,FALSE,FALSE,PDF 1件を含むページ
2026/07/25,滋賀県,令和8年度7月補正予算案の概要（その3）,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/351789.html,FALSE,FALSE,PDF 1件を含むページ
2026/07/23,滋賀県,令和8年度7月補正予算案の概要,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/351743.html,TRUE,TRUE,"【観光】...50 補助率：１／２ 補助対象：市町 事 業 名 補正予算額 説 明 （現計予算額） ［財源名］ 【観光政策局】 単位：千円 情報発信拠点推進費 164,480 １ ここ滋賀施設改修事業 (237,559... | 【物価高騰】...6,572[国、㊀] (1,084,373) (1) 施設整備促進支援事業 3,663[国] 現下の物価高騰により、地域医療構想の推進や救急医療・周産期 国 34,080 医療体制の確保のための施設整備が困難... | 【給付金】...80 医療体制の確保のための施設整備が困難となっている医療機関に 対し、施設整備を進めるために必要な給付金を支給する。 ㊀ 22,492 0 → 3,663 済生会滋賀県病院 3,663 (2) 分娩取扱施..."
2026/07/23,滋賀県,令和8年度7月補正予算案の概要（その2）,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/351750.html,FALSE,FALSE,PDF 1件を含むページ
2026/07/01,滋賀県,令和8年度6月補正予算案の概要,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/351381.html,TRUE,TRUE,"【物価高騰】...） ［財源名］ 【健康福祉政策課】 単位：千円 生 活 保 護 法 施 行 事 務 4,545 １ 物価高騰対策事業（救護施設） 4,545［㊀］ 費 (28,132) 物価高騰の影響がある中でも、救護施設の... | 【重点支援】...担の軽減を図る。 特別高圧電力や工業用LPガスを利用する県内の中小企業等を 0 → 280,318 重点支援地方交付金を活用した価格高騰対策による増額 事 業 名 補正予算額 説 明 （現計予算額） ［財源名... | 【物価高騰】...） ［財源名］ 【健康福祉政策課】 単位：千円 生 活 保 護 法 施 行 事 務 4,545 １ 物価高騰対策事業（救護施設） 4,545［㊀］ 費 (28,132) 物価高騰の影響がある中でも、救護施設の..."
2026/03/13,滋賀県,令和7年度2月補正予算案の概要,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/349289.html,FALSE,FALSE,PDF 16件を含むページ
2026/02/21,滋賀県,令和8年度当初予算案の概要,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/348722.html,TRUE,TRUE,【物価高騰】...康しが」 3 令和８年度(2026年度) 滋賀県当初予算案および組織改編案 「今」の暮らしへの対応 物価高騰の影響を踏まえた取組 （全体版（資料２）掲載ページ_P3） ※以降、ページ数のみ記載 国の経済対策に... | 【重点支援】...組 （全体版（資料２）掲載ページ_P3） ※以降、ページ数のみ記載 国の経済対策における物価高騰対応重点支援地方創生臨時交付金を活用し、日々の暮らしを身近で支える市町とともに、 物価高騰の影響を受けている生活... | 【周遊】...係人口創出事業 企業研修誘致コーディネート事業 県北部地域観光振興プロジェクト 北の近江サイクリング周遊促進事業 北の近江ジェンダー平等応援事業 「北の近江振興」高校魅力化推進プロジェクト事業 インバウン...
2026/01/27,滋賀県,令和7年度1月補正予算案の概要,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/348428.html,FALSE,FALSE,PDFなし
2026/01/21,滋賀県,令和8年度当初予算見積の概要,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/348136.html,TRUE,TRUE,"【物価高騰】...補助金 7,500 ・補助率：定額 ・補助対象：(一社)環びわ湖大学・地域コンソーシアム ○新 ２ 物価高騰対策大学連携プロジェクト研究補助事業 3,200 物価高の要因の一つであるエネルギー価格高騰の解決に... | 【周遊】...らで はの魅力や観光資源を効果的に発信するとともに、ロケ関連地 を巡るＰＲ事業を展開することにより、周遊・滞在型の観光機 会を創出し、本県の認知度向上や観光誘客による地域振興を図 る。 ○新 ３ 映像作品... | 【平日】...世帯の生徒への支援（１／２） 1,660 ③地方公共団体の体制整備等（２／３） 19,086 (2)平日も含めた地域展開等の加速化のための重点課題への対応 2,716 補助率：１０／１０ 補助対象：市町 ..."
2026/01/21,滋賀県,令和7年度11月補正予算案の概要（その3）,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/347885.html,TRUE,TRUE,"【物価高騰】...域下水道事業会計に対する光熱動力費および薬品費に 係る令和３年度からのかかり増し経費分の支援を行い、物価高騰 国 752,123 の負担増加を軽減する。 3,229,264 → 3,981,387 重点支援地... | 【重点支援】...1 補助率：定額 補助対象：一般社団法人滋賀県LPガス協会 496,870 → 1,016,431 重点支援地方交付金を活用した価格高騰対策による増額 地震対策費 118,388 １ 避難所環境改善支援事業 ... | 【周遊】... 449,601 １ 観光誘客臨時対策事業 212,500 (664,810) 観光需要の喚起や県内周遊の促進により、観光消費の拡大を図る ため、地域と連携した観光特別企画の実施や旅行事業者の旅行商品 国..."
2026/01/21,滋賀県,令和7年度11月補正予算案の概要（その2）,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/347484.html,FALSE,FALSE,PDFなし
2026/01/21,滋賀県,令和7年度11月補正予算案の概要,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/347488.html,TRUE,FALSE,"【滞在】... 特別史跡安土城跡便益施設整備事業 35,665 前述の来訪者増加に加え、見える化アプリの利用による滞在時 間の増加が見込まれることから、緊急時に利用できるトイレを城 内に設置する。 0 → 35,665..."
